name,url,img,poem
Pouch the Kangaroo,https://www.angelfire.com/ar/bbcollector/pouch.html,img/pouch.gif,My little pouch is handy I've found It helps me carry my baby around I hop up and down without any fear Knowing my baby is safe and near.
Pounce the Cat,https://www.angelfire.com/ar/bbcollector/pounce.html,img/pounce.gif,"Sneaking and slinking down the hall To pounce upon a fluffy yarn of ball Under the table, around the chairs Through the rooms and down the stairs!"
Prance the Cat,https://www.angelfire.com/ar/bbcollector/prance.html,img/prance.gif,She darts around and swats the air Then looks confused when nothing's there Pick her up and pet her soft fur Listen closely and you'll hear her purr!
Princess the Bear,https://www.angelfire.com/ar/bbcollector/princess.html,img/princess.gif,"Like an angel, she came from heaven above She shared her compassion, her pain, her love She only stayed with us long enough to teach The world to share, to give, to reach"
Puffer the Puffin,https://www.angelfire.com/ar/bbcollector/puffer.html,img/puffer.gif,"What in the world does a puffin do? We're sure that you would like to know too We asked Puffer how she spends her days Before she answered, she flew away!"
Pugsly the Pug,https://www.angelfire.com/ar/bbcollector/pugsly.html,img/pugsly.gif,"Pugsly is picky about what he will wear Never a spot, a stain or a tear Image is something of which he'll gloat Until he noticed his wrinkled coat!"
Quackers the Duck,https://www.angelfire.com/ar/bbcollector/quackers.html,img/quackers.gif,There is a duck by the name of Quackers Every night he eats animal crackers He swims in a lake that's clear and blue But he'll come to the shore to be with you!
Radar the Bat,https://www.angelfire.com/ar/bbcollector/radar.html,img/radar.gif,"Radar the bat flies late at night He can soar to an amazing height If you see something as high as a star Take a good look, it might be Radar"
Rainbow the Chameleon,https://www.angelfire.com/ar/bbcollector/rainbow.html,img/rainbow.gif,"Red, green, blue and yellow This chameleon is a colorful fellow A blend of colors, his own unique hue Rainbow was made especially for you!"
Righty the Elephant,https://www.angelfire.com/ar/bbcollector/righty.html,img/righty.gif,"Donkeys to the left, elephants to the right Often seems like a crazy sight This whole game seems very funny Until you realize they're spending your money!"
Ringo the Raccoon,https://www.angelfire.com/ar/bbcollector/ringo.html,img/ringo.gif,"Ringo hides behind his mask He will come out, if you should ask He loves to chitter. He loves to chatter Just about anything, it doesn't matter"
Roary the Lion,https://www.angelfire.com/ar/bbcollector/roary.html,img/roary.gif,Deep in the jungle they crowned him king But being brave is not his thing A cowardly lion some may say He hears his roar and runs away!
Rover the Dog,https://www.angelfire.com/ar/bbcollector/rover.html,img/rover.gif,"This dog is red and his name is Rover If you call him he is sure to come over He barks and plays with all his might But worry not, he won't bite!"
Scoop the Pelican,https://www.angelfire.com/ar/bbcollector/scoop.html,img/scoop.gif,"All day long he scoops up fish To fill his bill, is his wish Diving fast and diving low Hoping those fish are very slow!"
Scottie the Terrier,https://www.angelfire.com/ar/bbcollector/scottie.html,img/scottie.gif,Scottie is a friendly sort Even though his legs are short He is always happy as can be His best friends are you and me!
Seamore the Seal,https://www.angelfire.com/ar/bbcollector/seamore.html,img/seamore.gif,Seamore is a little white seal Fish and clams are her favorite meal Playing and laughing in the sand She's the happiest seal in the land!
Seaweed the Otter,https://www.angelfire.com/ar/bbcollector/seaweed.html,img/seaweed.gif,"Seaweed is what she likes to eat It's supposed to be a delicious treat Have you tried a treat from the water If you haven't, maybe you ""otter""!"
Sly the Fox,https://www.angelfire.com/ar/bbcollector/sly.html,img/sly.gif,"Sly is a fox and tricky is he Please don't chase him, let him be If you want him, just say when He'll peek out from his den!"
Smoochy the Frog,https://www.angelfire.com/ar/bbcollector/smoochy.html,img/smoochy.gif,"Is he a frog or maybe a prince? This confusion makes him wince Find the answer, help him with this Be the one to give him a kiss!"
Snip the Cat,https://www.angelfire.com/ar/bbcollector/snip.html,img/snip.gif,Snip the cat is Siamese She'll be your friend if you please So toss her a toy or a piece of string Playing with you is her favorite thing!
Snort the Bull,https://www.angelfire.com/ar/bbcollector/snort.html,img/snort.gif,Although Snort is not so tall He loves to play basketball He is a star player in his dreams Can you guess his favorite team?
Snowball the Snowman,https://www.angelfire.com/ar/bbcollector/snowball.html,img/snowball.gif,"There is a snowman, I've been told That plays with Beanies out in the cold What is better in a winter wonderland Than a Beanie snowman in our hand?"
Sparky the Dalmatian,https://www.angelfire.com/ar/bbcollector/sparky.html,img/sparky.gif,Sparky rides proud on the fire truck Ringing the bell and pushing his luck He gets under foot when trying to help He often gets stepped on and let's out a yelp!
Speedy the Turtle,https://www.angelfire.com/ar/bbcollector/speedy.html,img/speedy.gif,"Speedy ran marathons in the past Such a shame, always last Now Speedy is a big star After he bought a racing car!"
Spike the Rhinoceros,https://www.angelfire.com/ar/bbcollector/spike.html,img/spike.gif,Spike the rhino likes to stampede He's the bruiser that you need Gentle to birds on his back and spike You can be his friend if you like!
Spinner the Spider,https://www.angelfire.com/ar/bbcollector/spinner.html,img/spinner.gif,"Does this spider make you scared? Among many people that feeling is shared Remember spiders have feelings too In fact, this spider really likes you!"
Splash the Whale,https://www.angelfire.com/ar/bbcollector/splash.html,img/splash.gif,Splash loves to jump and dive He's the fastest whale alive He always wins the 100 yard dash With a victory jump he'll make a splash!
Spooky the Ghost,https://www.angelfire.com/ar/bbcollector/spooky.html,img/spooky.gif,"Ghosts can be a scary sight. But don't let Spooky bring you any fright Because when you're alone, you will see The best friend that Spooky can be!"
Spot the Dog,https://www.angelfire.com/ar/bbcollector/spot.html,img/spot.gif,"See Spot sprint, see Spot run You and Spot will have lots of fun Watch out now, because he's not slow Just stand back and watch him go!"
Spunky the Cocker Spaniel,https://www.angelfire.com/ar/bbcollector/spunky.html,img/spunky.gif,"Bouncing around without much grace To jump on your lap and lick you face But watch him closely, he has no fears He'll run so fast he'll trip over his ears!"
Squealer the Pig,https://www.angelfire.com/ar/bbcollector/squealer.html,img/squealer.gif,Squealer likes to joke around He is known as class clown Listen to his stories for a while There is no doubt he'll make you smile!
Sting the Ray,https://www.angelfire.com/ar/bbcollector/sting.html,img/sting.gif,I'm a manta ray and my name is Sting I'm quite unusual and this is the thing Under the water I glide like a bird Have you ever seen something so absurd?
Stinky the Skunk,https://www.angelfire.com/ar/bbcollector/stinky.html,img/stinky.gif,Deep in the woods he lived in a cave Perfume and mints were the gifts he gave He showered every night in the kitchen sink Hoping one day he wouldn't stink!
Stretch the Ostrich,https://www.angelfire.com/ar/bbcollector/stretch.html,img/stretch.gif,She thinks when her head is underground The rest of her body can't be found The Beanie Babies think it's absurd To play hide and seek with this bird!
Stripes the Tiger,https://www.angelfire.com/ar/bbcollector/stripes.html,img/stripes.gif,"Stripes was never fierce nor strong So with tigers, he didn't get along Jungle life was hard to get by So he came to his friends at Ty!"
Strut the Rooster,https://www.angelfire.com/ar/bbcollector/doodlestrut.html,img/strut.gif,"Listen closely to ""Cock-a-doodle-doo"" What's the rooster saying to you? Hurry, wake up sleepy head  We have lots to do, get out of bed!"
Tabasco the Bull,https://www.angelfire.com/ar/bbcollector/tabasco.html,img/tabasco.gif,Although Tabasco is not so tall He loves to play basketball He is a star player in his dream Can you guess his favorite team?
Tank the Armadillo,https://www.angelfire.com/ar/bbcollector/tank.html,img/tank.gif,This armadillo lives in the South Shoving a Tex-Mex in his mouth He sure loves it south of the border Keeping his friends in good order!
